file,bucket,has_url,has_pdf,reason
"Easy_One-Bowl_Yougrt_Coffee_Cake_Recipe",CLEAN,false,true,"structured ingredients + steps present"
"Easy_One-Bowl_Yougrt_Coffee_Cake_Recipe_2",FULL,false,false,"partial content → Vinst candidate"
"Eggnog",FULL,false,false,"partial content → Vinst candidate"
"Eggnog_2",FULL,false,false,"partial content → Vinst candidate"
"Electrolyte",FULL,false,false,"partial content → Vinst candidate"
"Electrolyte_Drink",FULL,false,false,"partial content → Vinst candidate"
"End-of-Season_Zucchini_and_Green_Pepper_Relish_Kitchn",STUB,true,false,"stub w/ source url → URL import"
"English_muffins",CLEAN,false,false,"structured ingredients + steps present"
"FW_Vintage_cocktail_books_-_a_timeline",FULL,true,false,"partial content → Vinst candidate"
"Flaky_Sourdough_Croissants_-_With_Step_by_Step_Instructions_-_Home_Grown_Happiness",STUB,true,false,"stub w/ source url → URL import"
"Flaky_Sourdough_Croissants_-_With_Step_by_Step_Instructions_-_Home_Grown_Happiness_2",STUB,true,false,"stub w/ source url → URL import"
"Flaky_Sourdough_Starter_Discard_Pie_Crust_(Sweet_or_Savory)_The_Perfect_Loaf",PDF,true,true,"content likely in PDF: attachments/Flaky_Sourdough_Starter_Discard_Pie_Crust_(Sweet_or_Savory)_The_Perfect_Loaf_1/Flaky_Sourdough_Starter_Discard_Pie_Crust_(Sweet_or_Savory)_The_Perfect_Loaf.pdf"
"Flaky_dough",CLEAN,false,true,"structured ingredients + steps present"
"Fluffy_Sourdough_Cornbread_—_Bless_this_Mess",STUB,true,false,"stub w/ source url → URL import"
"Focaccia",FULL,false,false,"partial content → Vinst candidate"
"Focaccia_Genovese",FULL,false,false,"partial content → Vinst candidate"
"Focaccia_Genovese_2",FULL,false,false,"partial content → Vinst candidate"
"Formented_lemons",FULL,false,false,"partial content → Vinst candidate"
"Fresh_Basil_Pesto_Recipe",PDF,true,true,"content likely in PDF: attachments/Fresh_Basil_Pesto_Recipe_1/Fresh_Basil_Pesto_Recipe.pdf"
"Fried_Cheese_Balls_From_Crete_Lemon_&_Olives_Exploring_Greek_Food_and_Culture,_The_Mediterranean_Lif",FULL,true,false,"partial content → Vinst candidate"
"Fruit_Filled_Cheesecake_Recipe_-_Allrecipes.com",FULL,true,false,"partial content → Vinst candidate"
"Garlic_buns",FULL,false,false,"partial content → Vinst candidate"
"Garlic_sauce",CLEAN,false,true,"structured ingredients + steps present"
"George_Washington’s_Cherry_Bounce_Almanac.com",STUB,true,false,"stub w/ source url → URL import"
"Georgian_Tarragon_Soda",CLEAN,false,true,"structured ingredients + steps present"
"Ginger_Snaps_Schwartz_Recipes",FULL,true,false,"partial content → Vinst candidate"
"Ginger_big_soda",FULL,false,false,"partial content → Vinst candidate"
"Gluten-Free_Vanilla_Cake_Ricardo",FULL,true,false,"partial content → Vinst candidate"
"Glyko_Karydaki_(Green_Walnuts_Preserve)_-_Kopiaste..to_Greek_Hospitality",CLEAN,true,false,"structured ingredients + steps present"
"Glyko_Karydaki_(Green_Walnuts_Preserve)_-_Kopiaste..to_Greek_Hospitality_2",FULL,true,false,"partial content → Vinst candidate"
"Greek_Yogurt_Sourdough_Flatbreads_-_Edible_Communities",STUB,true,false,"stub w/ source url → URL import"
"Greek_Yogurt_Sourdough_Flatbreads_-_Edible_Communities_2",FULL,false,false,"partial content → Vinst candidate"
"Green_Walnuts_nocino_liquor",FULL,true,false,"partial content → Vinst candidate"
"Green_Walnuts_nocino_liquor_2",FULL,false,false,"partial content → Vinst candidate"
"Grilled_Lamb_&_Fruit_Salad_with_Feta_and_Mint-Lime_Dressing",CLEAN,false,false,"structured ingredients + steps present"
"HOMEMADE_LARABARS_RECIPE",CLEAN,true,false,"structured ingredients + steps present"
